Tweet,Sentiment,Type,HS_Target,HS_Topic
pinokio umur 3 tahunan itu 2019 ganti presiden,Negative,Hate Speech,Individual,Other
 cerita silat lae xf0 x9f x98 x80 semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina ,Positive,Neutral,Other,Other
 benci sekali dengan umat islam,Negative,Hate Speech,Group,Religion
 provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,Negative,Hate Speech & Abusive,Individual,Race
 dari pada gue nete ,Negative,Abusive,Other,Other
 wkwk bani lowo ,Negative,Hate Speech & Abusive,Group,Other
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,Positive,Neutral,Other,Other
a orang yang suka ke konser konser sedikit boros ,Positive,Neutral,Other,Other
 sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga ,Positive,Neutral,Other,Other
susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu,Positive,Neutral,Other,Other
 sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue banci homo ,Negative,Hate Speech & Abusive,Individual,Gender
saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong ,Positive,Neutral,Other,Other
budaya kafir bersungguh kalau hal hal islam tidak diindahkan ,Positive,Neutral,Other,Other
 xf0 x9f x8e xb6 lah lah lah hem hem xf0 x9f x8e xa7 semua diam semua bisu dan kita coba tanya sama rumput yang bergoyang dan xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa ,Positive,Neutral,Other,Other
apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a xe2 x80 x99raf 200 dan fussilat 36 ,Positive,Neutral,Other,Other
 kalau kamu ateis apa sibuk dengan agama orang ,Positive,Neutral,Other,Other
lengserkan jokowi bangsat ,Negative,Hate Speech & Abusive,Individual,Other
 selamat hari kakak ini 2019 ganti presiden 2019 presiden baru,Positive,Neutral,Other,Other
 bajingan homo hati hati terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator,Negative,Hate Speech & Abusive,Individual,Gender
 iya cocot ,Negative,Hate Speech & Abusive,Individual,Other
 karena budaya indonesia ,Positive,Neutral,Other,Other
 yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam ,Positive,Neutral,Other,Other
 x kamu berbicara saja tidak benar bangkai ,Negative,Hate Speech & Abusive,Individual,Other
 kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja,Positive,Neutral,Other,Other
tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa ,Negative,Hate Speech,Group,Race
kalau seumpama orang cina di usir paksa dari indonesia bagaimana,Negative,Hate Speech,Group,Race
 bunda ngentot yuk ,Negative,Abusive,Other,Other
 cina babi cina maling dan usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,Negative,Hate Speech & Abusive,Group,Race
bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya dan kalau kami keliru kami tutup akun ,Positive,Neutral,Other,Other
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,Negative,Hate Speech,Individual,Other
 wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara ,Positive,Neutral,Other,Other
ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,Positive,Neutral,Other,Other
 terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap,Negative,Hate Speech,Individual,Other
 suka menutup mata tidak ditutup pun sudah terlihat te utup gara gara sipit ,Positive,Neutral,Other,Other
 saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum,Positive,Neutral,Other,Other
 eh kasar kamu kampang ,Negative,Hate Speech & Abusive,Individual,Other
bentar lagi gue rilis album the onta si wkwk ,Positive,Neutral,Other,Other
 ada cebong bang dia merasa paling benar ,Negative,Hate Speech & Abusive,Individual,Other
najis banget gue mentwit apa barusan he ,Negative,Abusive,Other,Other
kamu transgender atau bagaimana anjing uniform resource locator,Negative,Hate Speech & Abusive,Individual,Gender
 awas bintitan kamu mengintip titit kucing ,Negative,Abusive,Other,Other
 bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh ,Negative,Abusive,Other,Other
 gue menyarankan tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh ,Negative,Hate Speech & Abusive,Individual,Religion
jangan salah target bukan ahok agenda utama lengserkan jokowi ,Negative,Hate Speech,Individual,Other
 masa baru kena tagar saja sudah kepanasan ingin tahu banget 2019 ganti presiden,Negative,Hate Speech,Individual,Other
maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator,Negative,Abusive,Other,Other
 huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang p sama kali di tarutung dan nah sekarang anda saya k,Positive,Neutral,Other,Other
apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak ,Positive,Neutral,Other,Other
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,Negative,Hate Speech,Individual,Other
 dan yang takut dengan azan adalah iblis ,Positive,Neutral,Other,Other
 yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal ,Negative,Hate Speech & Abusive,Group,Other
 wah cebong sewot dan xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 ,Negative,Hate Speech & Abusive,Individual,Other
2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,Positive,Neutral,Other,Other
padahal gubernur saat ini djarot mayoritas pak ai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka uniform resource locator,Negative,Hate Speech,Individual,Other
 rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya ,Positive,Neutral,Other,Other
saat orang orang saling menuding antek asing asing sesungguhnya be epuk tangan ,Positive,Neutral,Other,Other
 nah lah katanya anti asing ,Positive,Neutral,Other,Other
selamat pak semoga bisa terus berkiprah bahkan tingkat nasional ,Positive,Neutral,Other,Other
 asyik menang saya sih ikut ulama saja,Positive,Neutral,Other,Other
 yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,Positive,Neutral,Other,Other
 anak pecun tidak jauh jauh dari hobi zina haha ,Negative,Hate Speech & Abusive,Individual,Gender
 aku bom surat berharga syariah negara ,Positive,Neutral,Other,Other
 istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003,Positive,Neutral,Other,Other
pada 1979 house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya ,Positive,Neutral,Other,Other
 tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin ,Positive,Neutral,Other,Other
 ian pantat ,Negative,Abusive,Other,Other
 mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik ,Negative,Abusive,Other,Other
pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham 2019 ganti presiden ,Negative,Hate Speech,Group,Other
sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,Negative,Hate Speech & Abusive,Individual,Race
dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lo dan gue merasa jadi anak yang berengsek saja begitu ke laki laki ,Negative,Abusive,Other,Other
cina perusak bangsa usir setuju ,Negative,Hate Speech,Group,Race
 2019 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter ,Negative,Hate Speech & Abusive,Individual,Other
mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai coki adem86 98heru ,Positive,Neutral,Other,Other
mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara ,Positive,Neutral,Other,Other
kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,Positive,Neutral,Other,Other
cowok yang jago drasex mana sini ngentot sama adik luvian ,Negative,Abusive,Other,Other
 kroasia itu kafir tau apa belajar sama kafir sudah lupa sama kapling sorga ,Negative,Hate Speech & Abusive,Group,Religion
 lah bukan nya menteri suha o ada yang homo ,Negative,Hate Speech & Abusive,Individual,Gender
gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk ,Positive,Neutral,Other,Other
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam ,Positive,Neutral,Other,Other
kejar setoran memang cukup bangsat mana rupiah turun xf0 x9f x98 xa5 ,Negative,Hate Speech & Abusive,Individual,Other
semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jaka a pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagian barat perhaps ,Negative,Hate Speech,Individual,Religion
 bangkai hajar ,Negative,Hate Speech & Abusive,Individual,Other
 onta mati kalau kebanyakan minum ,Negative,Hate Speech,Group,Other
uniform resource locator ahok tng mereka terus was was hidupnya ,Negative,Hate Speech,Individual,Other
itu baru di sul teng ini ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti,Negative,Hate Speech,Individual,Other
6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri ,Positive,Neutral,Other,Other
aku be anya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku be anya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan asing di mata manusia tak apa duhai diri ada,Positive,Neutral,Other,Other
 tak hanya kurang be aji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono ,Negative,Hate Speech,Group,Other
 admin tolol di pak ai tolol kenapa ai tolol untuk orang tolol ,Negative,Hate Speech & Abusive,Group,Other
 ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak uniform resource locator,Negative,Abusive,Other,Other
video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di ,Positive,Neutral,Other,Other
ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,Positive,Neutral,Other,Other
random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen ,Positive,Neutral,Other,Other
 kok gue kampret ,Negative,Abusive,Other,Other
memek lonte ingin disodok kontol gede ,Negative,Abusive,Other,Other
jokowi saja yang mundur tutup uniform resource locator,Negative,Hate Speech,Individual,Other
 berbicara apa itu mulut kok sepe i banci beli kaca dulu lihat dirimu bro ,Negative,Hate Speech & Abusive,Individual,Gender
 ada amin racist nada amat dani nada ratna sih paiiit nada sih onta nada sih lobang anus jadi jangan takut oi oi kehabisan obat penenang ya ,Negative,Hate Speech & Abusive,Individual,Other
 tunggu komando imam bejat cabul tai bir xf0 x9f x8d xba dan kenapa kenapa bawa ulama dasar banj sempak ,Negative,Hate Speech & Abusive,Individual,Gender
kabinet berantakan pemecah belah persatuan hanya ada di rezim ini ,Negative,Hate Speech,Group,Other
ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k xc3 xa6k orang bego wkwk ,Negative,Hate Speech & Abusive,Individual,Physical
 partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar bajingan ,Negative,Hate Speech & Abusive,Group,Other
 tidak percaya sama mulut buaya mu bawang ,Negative,Hate Speech & Abusive,Individual,Other
2019 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan,Positive,Neutral,Other,Other
 jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi,Negative,Hate Speech & Abusive,Individual,Gender
bebal ,Positive,Neutral,Other,Other
5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka obviously ,Positive,Neutral,Other,Other
 umuh begitu persib persib kunyuk dan xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 ,Negative,Hate Speech & Abusive,Group,Other
 buat film muslim pilih ahok mati enggak di disalatkan dijamin laris ,Negative,Hate Speech,Individual,Other
tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah ,Positive,Neutral,Other,Other
 eh kenapa muka merah merah itu tak dapat cendol ke bukan lah setan cuaca sekarang nih panas ,Negative,Abusive,Other,Other
pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan cebong ehe,Negative,Hate Speech & Abusive,Group,Other
giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan,Positive,Neutral,Other,Other
sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting kampungan xe2 x80 x93 viva uniform resource locator,Negative,Abusive,Other,Other
 jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan ,Positive,Neutral,Other,Other
 kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong ,Negative,Hate Speech & Abusive,Individual,Other
 kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno ,Negative,Hate Speech & Abusive,Individual,Other
selamat hari kakak ini setiap kali selalu dirayakan lalu apa maknanya kali ini ,Positive,Neutral,Other,Other
foto memang bisu tetapi memiliki banyak a i yang susah dia ikan sama sepe i kamu susah dia ikan mau putus atau lanjut ,Positive,Neutral,Other,Other
 wkwk aku sudah mengalaminya xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 setibanya muncul grub wa a dan bani abdi hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 ,Positive,Neutral,Other,Other
ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama x takut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu ,Positive,Neutral,Other,Other
 seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds malaysia memilih hogohundi,Positive,Neutral,Other,Other
 haha sialaaan nih sih ternyata kalau lagi lapar presiden juga mau disikat sama dia ,Positive,Neutral,Other,Other
 mau menasihati kali supaya tidak ugal ugalan nih rezim eh tapi ini negeri sudah keburu hancur nah sekarang saja ekonomi moral menikah kacaoooooo ,Negative,Hate Speech,Individual,Other
 alah silit kebelet kenapa dikasihani orang makin sayang saya pak setelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin nanti gue ceritakan duuuhhh xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f x98 x85 ,Negative,Abusive,Other,Other
 iya tadi cacat ,Positive,Neutral,Other,Other
 tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya 1 tukang tipu cebong adalah begitu goblok enggak ketulungan plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden ,Negative,Hate Speech & Abusive,Group,Other
 aku pernah sempat baca tentang harun yahya ini yang membelot ke kubu yahudi dengan freemason nya kadang suka tidak percaya ,Positive,Neutral,Other,Other
kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia ikut gus mus,Positive,Neutral,Other,Other
 ,Positive,Neutral,Other,Other
 mukidi terlalu percaya diri pe anyaan mudah ya dijawab yang keras tapi saya meminta dijawab yang keras siapa nama saya ,Positive,Neutral,Other,Other
 kemarin di hujat sekarang mengharap dasar para bani kampret ,Negative,Hate Speech & Abusive,Group,Other
 penjelasan saya bukan fitnah silakan dibantah apollinaris darmawan sebut al alquran kitab sampah,Negative,Hate Speech & Abusive,Group,Religion
monyet saja koloe dibilang saudara sama kamu pasti ogah hidupmu kok begini amat ya itu hati apa comberan ,Negative,Hate Speech & Abusive,Individual,Other
body lufra scrub dengan bahan dasar lidah buaya untuk melembabkan kulit amp lebih bercahaya info 087812026394 body mass index ,Positive,Neutral,Other,Other
 tak punya cacat di masa lalu karena belum bermasa lalu ,Positive,Neutral,Other,Other
 jangan jangan penganut bumi datar juga xf0 x9f x98 x9d soalnya teori bumi bulat kan dari orang asing yang notabene musuh mereka ,Positive,Neutral,Other,Other
becak warga binjai hendak disita karena gunakan tenda be uliskan 2019 ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik dan takut ,Negative,Hate Speech,Group,Other
